Word,Vowel,Timeinterval,F1,F2,F3,F4,Speaker,Language
guy,ai,80,416.8,2022.6,2554.1,3375.6,20,L1English
guy,ai,90,279.2,1952.2,2757.9,3317.4,20,L1English
knee,i,10,372.7,2533.4,3651.1,4162.7,12,L1English
knee,i,20,380,2646.9,3490.4,3872.9,12,L1English
knee,i,30,380.8,2581.2,2934.8,3987.1,12,L1English
knee,i,40,376.3,2665.9,2743.4,3976.3,12,L1English
knee,i,50,370.3,2094.1,2732.9,4018.6,12,L1English
knee,i,60,384.2,2363.1,2807.7,4038.7,12,L1English
knee,i,70,376.1,2050.9,2884.1,3985.5,12,L1English
knee,i,80,395,2153.8,2913.6,3973.6,12,L1English
knee,i,90,355,2452.1,3131.2,3790.3,12,L1English
knee,i,10,304.2,2468.6,2957.9,3635.2,13,L1English
knee,i,20,296.6,2541.7,3079.5,3595.6,13,L1English
knee,i,30,297.4,2562.2,3162.7,3573.4,13,L1English
knee,i,40,318.2,2574.7,3163,3580.1,13,L1English
knee,i,50,335.3,2574.3,3108.5,3519.3,13,L1English
knee,i,60,321.7,2569.3,3105,3538.7,13,L1English
knee,i,70,316.5,2569.4,3056.6,3520.8,13,L1English
knee,i,80,311.4,2537.8,2998.2,3511.5,13,L1English
knee,i,90,303.3,2465,2950.7,3535.8,13,L1English
knee,i,10,353.3,2859.6,3152.3,4207.2,15,L1English
knee,i,20,337.7,2850.4,3198.2,4191.4,15,L1English
knee,i,30,319.7,2848.9,3205.3,4204.5,15,L1English
knee,i,40,316.1,2847.3,3216.3,4181.9,15,L1English
knee,i,50,319.5,2830.6,3120.9,4174.1,15,L1English
knee,i,60,321.3,2823.5,3163.6,4157.3,15,L1English
knee,i,70,337.9,2733.8,3203.8,4199.2,15,L1English
knee,i,80,347.2,2804.3,3089,4110.5,15,L1English
knee,i,90,266.6,2865.4,2998.1,4092.3,15,L1English
knee,i,10,381.5,2549,2999.2,3720.7,19,L1English
knee,i,20,390.6,2578.9,2997.7,3536,19,L1English
knee,i,30,398,2606.2,3044.3,3544.4,19,L1English
knee,i,40,372.3,2655,3069.8,3694,19,L1English
knee,i,50,378,2700.2,3141.5,3855,19,L1English
knee,i,60,359.2,2695.6,3155,3933.5,19,L1English
knee,i,70,358.7,2680.9,3076,3733,19,L1English
knee,i,80,356.5,2652.4,3111.1,3794.6,19,L1English
knee,i,90,374.7,2535.9,3028.9,4015.6,19,L1English
knee,i,10,223.9,2114.2,2943,3326.3,20,L1English
knee,i,20,226.7,2142.6,3065.5,3268.8,20,L1English
knee,i,30,226.4,2185.3,3118.7,3380.2,20,L1English
knee,i,40,224.4,2209.8,3127.9,3552.7,20,L1English
knee,i,50,223.3,2246.8,3139.6,3640.8,20,L1English
knee,i,60,224.2,2258.8,3166.6,3256.5,20,L1English
knee,i,70,226.4,2266.1,3121.3,3569.3,20,L1English
knee,i,80,229.2,2209.7,3103.9,3186.8,20,L1English
